interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2021-02-01,2021-03-01,-0.00017898216901812702,0.00021869948250241578,2.0721130624579435e-06,9.260755718804905e-05,65536,56977,NUTS_NL_01m_2024.shp,NL1,2021,February,2
2021-03-01,2021-04-01,-0.00021058067795820534,0.00039664338692091405,4.1615678113346244e-05,8.680817678918676e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2021,March,3
2021-04-01,2021-05-01,-0.0002271029952680692,0.0003314023488201201,2.578491647385519e-05,9.181482693403373e-05,65536,62261,NUTS_NL_01m_2024.shp,NL1,2021,April,4
2021-05-01,2021-06-01,-0.0003309747262392193,0.0005081716226413846,8.130010694558086e-05,0.00013451479532956866,65536,29194,NUTS_NL_01m_2024.shp,NL1,2021,May,5
2021-07-01,2021-08-01,-0.00018137563893105835,0.0001747994974721223,3.455726549114952e-05,8.115885824535412e-05,65536,63089,NUTS_NL_01m_2024.shp,NL1,2021,July,7
2021-08-01,2021-09-01,-0.00011960863048443571,0.0003117400920018554,4.5843521144011105e-05,8.759571397854758e-05,65536,58730,NUTS_NL_01m_2024.shp,NL1,2021,August,8
2021-09-01,2021-10-01,-0.00039298227056860924,0.0004108341527171433,1.6854148022055664e-05,0.000133901489892277,65536,57347,NUTS_NL_01m_2024.shp,NL1,2021,September,9
2021-10-01,2021-11-01,-5.373842941480689e-05,-5.373842941480689e-05,-5.373842941480689e-05,0.0,65536,65426,NUTS_NL_01m_2024.shp,NL1,2021,October,10
2022-01-01,2022-02-01,-0.000194171181647107,0.00028296178788878024,6.0644792818956946e-05,0.00010859990314690588,65536,62859,NUTS_NL_01m_2024.shp,NL1,2022,January,1
2022-02-01,2022-03-01,-0.0004875296726822853,0.0006676239427179098,4.329980391204644e-05,0.0001547097154964242,65536,29056,NUTS_NL_01m_2024.shp,NL1,2022,February,2
2022-04-01,2022-05-01,-0.00015599575999658555,0.00020975296502001584,3.301962675678522e-05,7.048497149826048e-05,65536,62830,NUTS_NL_01m_2024.shp,NL1,2022,April,4
2022-05-01,2022-06-01,-0.0001485351676819846,0.00040620300569571555,8.995387058767917e-05,9.136247803220873e-05,65536,63480,NUTS_NL_01m_2024.shp,NL1,2022,May,5
2022-06-01,2022-07-01,-0.00020109265460632741,0.00045768613927066326,0.00011549309346623765,0.00010457438727655463,65536,37728,NUTS_NL_01m_2024.shp,NL1,2022,June,6
2022-08-01,2022-09-01,-0.00026543199783191085,0.00037132654688321054,6.919669769414494e-05,0.00012266870942344215,65536,29056,NUTS_NL_01m_2024.shp,NL1,2022,August,8
2022-09-01,2022-10-01,-0.0003172659198753536,0.0005084889708086848,5.48159201153338e-05,0.000122659996174357,65536,30048,NUTS_NL_01m_2024.shp,NL1,2022,September,9
2022-10-01,2022-11-01,-0.000544891634490341,0.0005938233807682991,4.122076106492297e-05,0.0001853667496252866,65536,41637,NUTS_NL_01m_2024.shp,NL1,2022,October,10
2023-01-01,2023-02-01,-0.0001423047506250441,0.00037843218888156116,0.00011056041374761031,0.00014144371365550984,65536,63912,NUTS_NL_01m_2024.shp,NL1,2023,January,1
2023-02-01,2023-03-01,-0.0002930278133135289,0.00034306393354199827,2.5884647397425485e-05,8.837403053368229e-05,65536,29919,NUTS_NL_01m_2024.shp,NL1,2023,February,2
2023-04-01,2023-05-01,-0.0003509718517307192,0.0004246224707458168,6.921998727524084e-05,0.00011859243147149209,65536,29360,NUTS_NL_01m_2024.shp,NL1,2023,April,4
2023-05-01,2023-06-01,-0.00032703514443710446,0.00035830086562782526,4.981966164506809e-05,0.00011637314764410683,65536,29929,NUTS_NL_01m_2024.shp,NL1,2023,May,5
2023-06-01,2023-07-01,-0.00017775464220903814,0.0003860908327624202,0.00011728119430820817,0.00014443031407108516,65536,60872,NUTS_NL_01m_2024.shp,NL1,2023,June,6
2023-08-01,2023-09-01,-0.00029662036104127765,0.00039078533882275224,-9.808611369019861e-06,0.00010508922307631635,65536,46469,NUTS_NL_01m_2024.shp,NL1,2023,August,8
2023-09-01,2023-10-01,-0.0002611014642752707,0.00042020544060505927,4.896786683163241e-05,0.0001270164347015503,65536,46606,NUTS_NL_01m_2024.shp,NL1,2023,September,9
2023-10-01,2023-11-01,-0.00029894860927015543,0.0003749634197447449,8.796304147572155e-06,0.00014400910786904717,65536,61290,NUTS_NL_01m_2024.shp,NL1,2023,October,10
2024-03-01,2024-04-01,-0.0002421837270958349,0.0004613021155819297,5.1899044250695744e-05,0.00010807960517101843,65536,45518,NUTS_NL_01m_2024.shp,NL1,2024,March,3
