,SUBID_A,SUBID_B
583,9500137,9500917
584,9500145,9500917
585,9500466,9500917
586,9500470,9500917
587,9500704,9500917
588,9501257,9500917
589,9521760,9500917
590,9521852,9500917
591,9521868,9500917
592,9521943,9500917
593,9521989,9500917
594,9522105,9500917
595,9522125,9500917
596,9522154,9500917
597,9522258,9500917
598,9556306,9500917
599,9556308,9500917
600,9556345,9500917
601,9556360,9500917
602,9556371,9500917
603,9556390,9500917
604,9556397,9500917
605,9556402,9500917
606,9556413,9500917
607,9556427,9500917
608,9556439,9500917
609,9556449,9500917
610,9556463,9500917
611,9556478,9500917
612,9556479,9500917
613,9556480,9500917
614,9556483,9500917
615,9556492,9500917
616,9556512,9500917
617,9556534,9500917
618,9556545,9500917
619,9556546,9500917
620,9556558,9500917
621,9556562,9500917
622,9556569,9500917
623,9556584,9500917
624,9556586,9500917
625,9556594,9500917
626,9556596,9500917
627,9556604,9500917
628,9556608,9500917
629,9556610,9500917
630,9556631,9500917
631,9556646,9500917
632,9556649,9500917
633,9556654,9500917
634,9556664,9500917
635,9556669,9500917
636,9556684,9500917
637,9556688,9500917
638,9556694,9500917
639,9556708,9500917
640,9556713,9500917
641,9556728,9500917
642,9556740,9500917
643,9556741,9500917
644,9556754,9500917
645,9556864,9500917
646,9556955,9500917
647,9557004,9500917
648,9557101,9500917
649,9557108,9500917
650,9562917,9500917
651,9562945,9500917
652,9563001,9500917
653,9563065,9500917
654,9563221,9500917
655,9563225,9500917
656,9563280,9500917
657,9563321,9500917
658,9500137,9500931
659,9500145,9500931
660,9500179,9500931
661,9500191,9500931
662,9500212,9500931
663,9500466,9500931
664,9500470,9500931
665,9500704,9500931
666,9500872,9500931
667,9500877,9500931
668,9500902,9500931
669,9500904,9500931
670,9500914,9500931
671,9500916,9500931
672,9500938,9500931
673,9501257,9500931
674,9501431,9500931
675,9521760,9500931
676,9521852,9500931
677,9521868,9500931
678,9521943,9500931
679,9521989,9500931
680,9522105,9500931
681,9522125,9500931
682,9522154,9500931
683,9522258,9500931
684,9535206,9500931
685,9535267,9500931
686,9535295,9500931
687,9535354,9500931
688,9535370,9500931
689,9535398,9500931
690,9535498,9500931
691,9535532,9500931
692,9535729,9500931
693,9535800,9500931
694,9535836,9500931
695,9535841,9500931
696,9556306,9500931
697,9556308,9500931
698,9556345,9500931
699,9556360,9500931
700,9556371,9500931
701,9556390,9500931
702,9556397,9500931
703,9556402,9500931
704,9556413,9500931
705,9556427,9500931
706,9556439,9500931
707,9556449,9500931
708,9556463,9500931
709,9556478,9500931
710,9556479,9500931
711,9556480,9500931
712,9556483,9500931
